star_score,reviews
1,정말 맛 없어요 의정부 살고 있는데 이런데가 맛집이라고 나와 있으니 부끄러울 정도에요 사람 많은 이유를 도 모르겠고
5,의정부 금오동 맛집 일품삼겹살 입니다 많은 관심과 응원 부탁드립니다 감사합니다
3,예전이나 지금이나 비추 땅값올라서 유명해진곳
2,몇번 가봤지만 먹을떠마다 왜 먹는지  줄거있는 사람들보면 왜 저러고 있는지 그런 생각뿐
1,초심버린 중식당 류 중국집으로 변함 가면 후회
3,달달한 거 땡기는 날 가는 곳 수박 주스 파르페 두 개 달고나 밀크티 크림 브륄레 다 먹었어요  파르페 조합이 맛없을 수가 없는 조합이에요 밀크티도 별로 안 좋아하는데 여기 거는 너무 맛있었고 쿠키는 포장해 갔는데 대박이었어요
3,국물이 정말 깔끔하니 맛있어요 재료들도 하나하나 맛있고 특히 부대찌개 먹으러 가면 민찌는 조금만 넣어주는데 여기는 양도 많고 고기 입자가 커서 씹는 맛이 있더라구요  맛있어서 밥 두공기 뚝딱 해버렸네요 
5,맛있네요 국물도 걸쭉하니 든든함
5,너무맛있네요 주차도넓고요
5,정말 맛있는 업소인데 식신에 올라왔네요 주차도 넓고 찐하고 구수한 국물이 일품입니다 코로나관련해 예방방역도 되있어 마음놓이는 식당입니다 최곱니다
5,인생삼계탕이네요 걸쭉하고 노란 국물과 심지어 닭까지 노래요 뚝배기도 커서 양도많구요 정말 처음먹어보는 맛이네요 주차장도 넓고 맛집 추천해요
5,여기가 진짜 맛집인데 아무도 리뷰를 안달아주네
2,간이 좀 짜요 
1,오픈 표시를보고 찾아갔으나 문 닫혀있네요 좀 더 신경을 써주세요
4,평양냉면의 어머니라고 해서 가보았습니다 아직은 평냉을 알아가는중입니다 점점더 익숙해지면서 깊어져 갑니다 맛보았던 평냉중 재일 맛나네요  암튼 더 노력해보겠습니다
4,찾아가는길에 이길이 진짜맞나 싶었지만 도착하니 너무 만족했던곳 식물식물 한 인테리어도 너무 좋았고 커피맛도 괜춘했음 재방문의사있음 카페거리골목에 있었더라면 더 자주갔을듯 위치가 조금 아쉽지만 너무 대만족
1,칼국수 천원하던때부터 다녀서 칠천원까지는 참을만 했으나 천원되면서부터 안가게됨맛은 그럭저럭
5,맛집이었는데 맛이 이상해져서 안가다가 다시가보니 다시 맛있어졌음
5,짬뽕이 맛있었는데 짬뽕이나 짜장이나갈때마다 맛이다른것같음
5,이가격이 말이되는지눈이 너무아픔
5,전골 일인분 싼거가 원 이인분이상눈이 많이아픔 짠거 좋아하시는분들 추천
1,상다구도 드럽게생긴 여편네가 피곤에 쩌든얼굴로 인상쓰며 서빙하는곳  맛은 둘째치고 재수없게 생긴 여편네 땜에 토나오는곳
5,불 알 주먹밥을 포장해갔는데 제품이 흐트러져 있고 먹기 불편했습니다
5,알불주먹밥을 포장해갔는데 주먹밥이 다 떨어져 볶음밥처럼 밥이 뭉쳐있지 
5,말이 필요 없습니다 좋아요
5,좋아요
5,공기 안좋을수가 없겠죠 남양주에서 손가락에 꽂히는 비루개 입니다 운전 초보자가 가기엔 길이 좁고 좋진 않지만 위에 카페 주차장 올라오는 순간 신세계가 열립니다 이상 솔직 후기 입니다
1,맛이 문제가 아니라 내방하는 고객을 대하는 태도가 점입니다 영업시간이 시 분으로 되어 있어서 시경 찾아갔더니 사장님 안계시다고 시 분에 마감한다며 오만상을 찌푸리더군요 먹다가 체할거 같아 그냥 나왔습니다 다른 곳에서 명이면 대접까지는 아니어도 이런 취급까지는 하지 않던데 말이죠 무리한 요구한것도 아니고 기름값써가며 써있는거 보고 간건데 말입니다 영업시간 수정하세요 더운데 거기까지 가서 먹게 해달라고 애걸하다가 좋게 하고 나왔지만 이제 다시 갈일도 없습니다 제 주변사람에게도 절대 가지말라고 할겁니다 아직도 이런 곳이 있다니 여기까지 써놓고 나니 점도 아깝네요 점입니다 내 돈 내고 먹겠다는데
1,너무 맛없는 냉면 한그릇에 원 가격도 비싸고 입만 버림 다 남기고 나왔어요
3,괜찮았습니다 의정부 사람들은 냉면 선호도가 곰보파와 조원파로 나뉘어 집니다 저는 곰보파 시장안에 곰보냉면 그 역사 만큼이나 추억에 남는 곳입니다 어머니 손잡고 갔었는데 이제 아들 손잡고 가네요
5,만두를 제대로 음미하고 싶다면 이곳을 가야한다
1,냉면은 맛있어요 그런데 수육은 어느날은 촉촉하고 어느 날은 말라비틀어진거 주네요 먹기 전에 얘기하면 바꿔줄수 있다고 하니 참고하세요
1,맛집이라해서 갔는데 그다지 맛있는지는 모르겠습니다 오히려 가격은 다른데 보다 비싸더군요 소주도 원이나 하고 저도 다시 가고싶지는 않습니다
1,내 인생 최악의 부폐 맛있는게 하나도없음 가격도 싸지도 않음 차라리 자연별곡을 가시길
2,의정부에서 평양면옥과 함께 전국에서 가장 유명한 식당 하지만 너무 긴 웨이팅과 특별함없는 맛으로 의정부사람들은 가지않는 식당
2,사무실이 근처라 지금까지 번이상 가본것같습니다 처음에는 이게무슨맛이지약간 고무담근맛 같기도하고 아무튼 생소했는데 그래도 계속 먹다보니 함흥냉면과는 다른 무언가가 있다는것은 알겠으나이게 맛있는건지는 모르겠습니다수육은 누가먹어도 맛있습니다특히소스가근데 냉면도 수육도 너무 비쌉니다
5,여기서 힐링했어요 정말 대박임 분위기 좋고 커피 신선하게 맛있고
5,남치니가 시장통닭먹고싶다해서 또 용천통닭왔습니당 비도 오는데 역시나 많은 손님 솔직히 닭다리만 먹고싶어서 다른곳 가려했는데 장사를 안하더라구요  요튼 후라이드 한마리 시켰는데 남친이 부족한거 아니나며 그래서 제가 너 처음왔냐고 분명 저번에 왔는데 기억이 안난답니다  나온거 보더니 자신이 실언했다며  둘다 배터져 죽는줄 맛도 맛이지만 양이 넘넘 많아요그렇게 오랜만에 치콜 배터지게 하고 왔답니당 아 오랜만에 갔는데 아줌마 한분 너무너무 친절하셔요 먹는 내내 훈훈
3,의정부시민들이 극찬을 그렇게해서 오늘 비도내리고해서 방문했어요 오후시가넘었는데도 앞에 대기손님이 명은있어서 분정도 기다려서 먹고왔습니다 칼국수가 천원 손만두가천원이라 가격이 생각보다 엄청 비싸요  사골칼국수인데 사골국물맛이 진하지않았고 국수면과 국물맛이 따로느껴지더라구요기대했는데 엄청난 맛은 아니었습니다 의정부 밀가마국시집보다 포천에 홍두깨칼국수가 제생각엔 훨씬맛있는거같습니다
3,웨이팅을하는동안 너무 기대를 해서 그런지 생각보다 평범했어요 특별할것 없는 그냥 일반 부대찌개맛이었는데 이렇게 오래 기다려서 먹을곳인가 다시한번 생각하게 만들었던 곳 식객에 나왔다고해서 사람이 많은 것 같은데 호불호있을 것 같아요 시장안이라 주차 걱정했는데 장사잘되는 곳이라서 주차장이 따로 있는건 좋더라구요 근데 굳이 다시 먹으러가진 않을 것 같아요
5,의정부하면 사실 부대찌개 아니고 통닭이라고 생각함니다 그중에서도 탑은 용천통닭진짜 갓튀긴거 맥주랑 먹으면 천국가는 기분 후라이드 한마리 시키면 마늘하고 똥집 조금 같이 나와영 진짜 치맥하기 넘 좋은곳  가격도 착하다 진짜 
5,부대찌개란 것이 탄생된 곳 부대찌개 역사적으로도 맛도 가볼만한 곳입니다
5,동네골목 작은빵집이라 찾기 힘든데두 어찌들 아시고 찾아 오실까 했더니 식신에 저희 매장이 올라왔네요  식신 감사해용 찾아오시기 힘든만큼 그 걸음  헛되지 않게 초심다잡아가며 맛난 빵 정성껏 만들도록 노력하겠습니다
3,평범합니다
5,남치니와 제가 애정하는곳 체인점이지만 넘넘 맛나요 미스터아구 아구찜 소자 시키면 두명이서 배터지게 먹을수있어용 밑반찬이 정말정말 잘 나오구요 같이 나오는 미역국도 맛있어용 아구찜시키면 그 위 아구위로 알고있는데 그게 정말 별미에요 쫄깃쫄깃한게 세상 행복 콩나물 왕창 집어서 간장소스에 찍어서 흰쌀밥이랑 먹으면 캬하 거기에 미역국도 한입 죽음입니당 주차장도 크게 잘되어있구요 점심 저녁에 가면 손님들도 꽉 차 있어요 그래도 매장이 커서 회전율은 빠르더라구요 웨이팅 길어봐야 분 안팍입니당 꼭꼭 가보셔용
5,저 또 갔다왔습니당 깡통 바로 밑에 제 리뷰가 있네요 제 절친이 곱창 닭발 꼼장어 같은 약간의 비주얼이상한 아이들을 못먹는데 이번에 길피코 먹여보겠다고 설득에 설득을 해서 갔습니당 오픈시간에 맞춰갔는데도 웨이팅 시간분 걸려서 자리에 앉았죠 여자 네명이 갔는데 아무도 생간을 먹을줄 몰라 제가 독차지했습니당 친구가 떨린다면서 못먹음 어쩌지 했는데 왠걸요 한입먹더니 너무 맛있다며 폭풍흡입 깡통돌곱창은 잡내도 없어서 곱창못드시는분들도 도전해보실수있으세요 웨이팅만 아니면 자주갈텐데  참고로 여자 넷이 모듬 판 볶음밥 개 볶아먹었답니당 헤헤
3,여기 빵 먹으면 속이 정말 편해요 건강한 재료로 만든다는 게 무슨 느낌인지 알게 해주는 집 빵 냄새가 향긋합니다
5,밥값 별도로 받는 식당 처음 경험했네요 언젠가는 반찬값도 별도로 받겠네요
5,의정부맛집으로 에서 엄청난 인기를 끌었던곳 형부가 쏘신다길래 냉큼갔는데 와 손님으로 꽉 차있더라구요 다행히 한자리 비어있어서 바로 먹을수있었습니다 메뉴판에 있던 식사 메뉴는 거의 다 시켜먹었는데요 제 개인적인 입맛으론 하와이안 롤카츠가 제일 맛있었구요 이거 진짜 굿굿 맥주한주로 딱인듯 딱새우사시미  원래 스키야끼를 기대하고 갔는데 그냥 샤브샤브여서 아쉬웠어요 정말 간장양념에 계란물 찍어먹고 마지막에 우동 넣어 먹는걸 생각했는데  딱새우머리는 마지막에 튀겨달라고 하면 튀겨주시는데 껍질이 딱딱해서 안에 내장만 쪽쪽 먹고 버린답니당
5,의정부시장통닭은 의정부통닭이 유명하다고 하지만 개인적으로는 용천통닭이 제일 맛있다고 생각함 다른곳이 비해 퍽퍽하지않고 양은 두말하면 입아프고 서비스로 주는 똥집이랑 염통은 소금에 찍어먹음 굿굿굿 여기에 마늘도 같이 튀겨줘서 더 좋음 가격도 저렴해서 주머니 가벼울때 맥주한잔에 치킨한마리면 명도 먹을수있음
5,원래도 유명한 라면집인데 대천왕에 나오고 더 유명해져서 웨이팅이 어마어마했지만 맛은 변함없이 굿 매운걸 못먹어 저는 제일 안매운 해물반을 시키고 남치니는 매운반을 시켰는데 매운반은 정말정말 맵더라구요 해물반도 저한테는 좀 매운수준 중화시키기위해 알주먹밥 추가해서 먹었는데 주먹밥 소스라고 해야하나 그거 뿌려먹는데 와 너무 맛있더라구요 기다렸다가 먹은 보람이있었어요
5,하여긴 정말 꼭 가보셔야 합니다 의정부 사람들도 인정한 의정부 맛집이구요 다른 곱창집 여럿 먹어봤지만 깡통 따라올 집은 없더라구요 완전완전 신선한 재료들이라 잡내도 안나고 뭔가 살짝 양념이 되어 있는거 같은데 넘넘 맛있어요  직원분들도 바쁜데도 타지않게 계속 신경써주시고 친절하기까지 잘 구운 대창에 부추무침 곁들여서 한입먹으면 하 죽음입니다 여긴 꼭 가셔야해요 강추합니다 후회안하실거에요
5,웨이팅이 있더라도 기다려서 먹고마는 맛집
2,친구들이랑 같이 갔는데 모두 만족스러웠던 곳 화이타 타코 브리또 등등 다양하게 시켰는데 하나하나 다 맛났어요 특히 화이타는 원하는 재료 왕창 넣어서 싸먹기는 재미도 있네용
5,한달에 한번은 부모님 모시고 꼭 가는데 진짜 너무 맛있는거 인정 매운탕도 잘못 하면 비린내도 나고 맛없는데 년 전통 맛집이라 그런지 너무 맛있었어요 주메뉴 나오기 전에 반찬 먹는데 김치도 사모님이 직접 담그시구 매일 아침마다 새로 반찬하시구 예약하고 갔는데 가게도 깔끔하구 일하시는 분들이 다친절하더라구요 한번은 애기들도 데리고 가는데 한시간전에 미리 예약하면 애기들 먹을수있는 능이백숙이랑 닭도리탕도 된다구 해서 하루전에 미리 방으로 예약하구 가족들과 가서 너무 맛있게 식사했어요  보통 음식점에서 여러가지 음식 팔면 맛이 없는 경향이 조금있는데 여기 임진강 민물매운탕집은 뭐든 다맛있는거 같더라구요 매운탕이 메기랑 안에들어가는 해산물이 조금 비싸서 가격이 부담 되실수는 있지만 그래도 양이 혜자라서 진짜 가서 배부르게 수제비도 넣어먹구 밥까지 볶아먹으면 전혀 돈이 아깝지가 않다는거 아글구 사장님 사모님이 서비스가 너무 좋으셔요  전 여기 다닌지가 벌써 년이나 되서  매운탕은 여기 임진강 아니면 다른데곳은 못가겠더라구요   가게도 새로 이전하면서 확장되서 단체손님도 받을수 있다네욯 제가알기로는 룸이 개 정도 있는데 다 크고 홀도 엄청 큰걸로 알고 있어요 아층도 있구 암튼 한번 가보시는거 추천드리고 싶네여  방송출연도 사 다 나간걸로 알고 있어용 
5,어제 맛집이라는의정부통닭집을 찾아들어섰는데 저를손님으로안보더군요그래서제가 손님주문안받으세요하니까혼자온손님은 안받는다고하더군요 제가 나이도있는지라 다시한번물어보니 안판다고하면서 막말을하더군요이런곳이 맛집이라니맛을자랑하기보다 손님에대한 인성이 먼저되어야한다고 생각합니다맛집일진모르지만 인간성을 최하에집인듯하네요
1,그냥 평범한맛 소세지 스팸에 만두는 독특하게 새알 만두 소문듣고 왔는데 이곳에서 꼭 먹을 이유가 없는 평범
5,제가 부대찌개 너무 조아해서 의정부 부대찌개 골옥에 식당투어했는데요 양주식당이 햄 소세지양이 많더라구요 양주식당은 추가밥값도 안받으시고 넘 맛있게 먹고왔어요 앞으로 양주식당만 가야겠어요 기본 반찬 오뎅도 겁나 맛있어요
1,의정부에 볼일이 있어서 주연속으로 갔어요 싱싱한 야채가 좋아서 갔는데 지지난주에는 스테이크에 머리카락이 나오고 오늘은 빠에스파게티 소스에서 철수세미가 나왔어요 머리카락은 어쩔수 없다고 하지만 철수세미 찌꺼기는 위생의 문제인것 같아서 사장만나서 이야기 했는데 태도가 아주 별루였어요 음식값 안받았으면 된거아니냐 뭐 이런태도 사장태도에 매우 실망스럽고 이젠 안가려구요 소스 잘 살피면서 식사하세요 번연속 나오니 신뢰감이 없네요
3,솔직히 쭈꾸미 샤브샤브 처음 먹어봤는데제철에만 느낄 수 있는 신선함과 쫄깃함을 느낄 수 있어서 좋은 경험이였다
4,부대찌개 아주 얼큰하니 굿
5,둘이서 먹었는데 여기 양념도 진짜 맛있고 간도 잘되있음 꼭 가야하는 맛집 이런건 아니지만 근처에서 해물찜을 먹고싶다 그러면 가보면 실망하지 않을겁니다 다른건 안 먹어봤구 해물찜볶은밥만 먹어봤는데 강추드리고싶네요 식혜도 무한리필이에요 
5,이집의 단점공기밥을 따로시켜야함  떡갈비는 정말맛있어요
5,냉라멘 겨울인 지금 먹어도 맛있습니다 천원
5,카페아를에서 피자랑 파스타 그리고 빵도 먹었어요 간이 세지 않아 깔끔하고 부담없이 맛있게 먹었어요 무가당 크랜베리 쌀빵은 쫄깃쫄깃 쫀득쫀득한 느낌 빵떡수니라 이런 식감을 참 좋아하는데 완전 저격당했어요 그리고 많이 달지 않아서 더 좋더라구요 후르츠생크림은 안에 생크림이 진짜 한가득 들어서 잘라먹기 힘들었어요 근데 포도가 세알밖에 없어요 왜 이름이 후르츠생크림인거죠
3,여긴 입맛에 따라 의견이 나뉠것같네요
4,좋은느낌입니다
2,피자빼고 질이나쁨
4,무난한전통적인매운맛
2,이름밖에없는곳
5,의정부통닭 상위호환 깔끔한인테리어 맛있는맥주 양많고 맛있는닭
5,가격이 좀 비싼데 비싼값함 만두는 최고고 평양냉면은 호불호갈리는데 비빔냉면은 모두가좋아할것
5,술안주로좋다
5,만두한정 원탑 탕수육  나머지는 그냥평범그자체니 비추
4,하루 딱 시간만 운영하는 웨이팅 필수 맛집 사쿠라멘  역대급 두께의 두툼한 돈까스를 만날 수 있다 튀겨지는 시간이 용서되는 비주얼 브라운 빛 바삭한 튀김옷과 새하얀 돼지고기 속살 바사삭하고 한입 베어 물면 숭덩하고 씹힘을 넘어서는 표현이 필요한 고기의 질감이 느껴진다 두툼하지만 퍽퍽하지 않다 큼지막한 조각에 두 조각만 먹어도 든든하다 나가사끼 짬뽕은 진한 돈코츠 육수에 해물의 시원한 맛이 더해진 상당히 담백한 감칠맛이 난다 차가워진 공기에 종종 생각날 것 같은 따끈 진득한 국물이다 돈까스랑 조합도 참 좋다
5,잘 먹었습니다
2,많은 매스컴에서 다룬 의정부 부대찌개의 대명사 오뎅식당 오랜만에 방문했지만 여전히 많은 사람들 수요미식회에서 나왔다길래 더더욱 기대 하지만 기대를 너무해서 그런가 아니면 놀부부대찌개에 길들여서 그런가 맛이 별로였다 반찬 또한 전체적으로 심심한감이 없지 않았고 재방문 의사는 없다
4,의정부 대표카페라 해도 무방할정도로 넓은 공간의 카페 카페아를은 반고흐가 즐겨갔던 카페라 이름을 땄다한다 그래서 외부공간은 유럽을 온듯한 느낌이 강하다 분위기 뿐만 아니라 맛또한 정말 맛있다 음료 가격은 다소 비싸지만 기분 좋게 쉬다 왔다
1,맛보다 가격에 죽어요 우리나라 해물탕 거품 너무 심한듯
5,한번 먹으면 몰라요 어느순간 중독되면 딴냉면 못먹어요 
1,양도작고 서비스도 꽝 절대비추
5,친절하고 저렴하고 맛있는곳
1,완전 광고빨  볶음밥 시켰더니 시커멓케 태운걸 올려줌 오래됬다고 다 좋은건 아닌결 증명하는곳
3,또 갈 거 같네요
2,먹을만했습니다
2,좋았던거 같다
2,먹을만한 편이네요
2,맛이 훌륭해서 또 오고 싶어요
2,추천할만한거 같다
2,훌륭했습니다
2,또 가고 싶은 것 같아요
3,또 오고 싶어요
3,합리적인 가격이에요
3,괜찮었어요
3,또 오고 싶어요
3,훌륭했던거 같다
2,먹을만한 편
3,부모님 모시고 오기에도 좋아요
2,스시의 퀄리티가 좋아용
2,가볼만했던 것 같다
3,괜찮았던 편이에용
2,맛있는 것 같아요
2,힐링하기 좋은 곳이에요
3,곱창전골 추천합니다
3,송년회 하기에도 좋습니당
3,신선한 해산물을 즐길 수 있어요
3,깔끔해요
2,괜찮았던 편이에용
2,스테이크의 맛이 좋아요
2,가볼만햇던거 같아요
3,훌륭했다
3,여러가지 맛을 즐길 수 있어서 좋아요
3,또 오고 싶어요
2,입맛에 맞는 편이에요
3,또 가고 싶다
3,맛있는 편입니다
2,편안한 분위기에요
2,추천할만한 편이에요
3,시원한 육수에요
3,만족스러울만했음
3,먹을만한 것 같다
3,분위기가 좋아요
2,또 오고 싶어용
2,훌륭했던 것 같아요
2,분위기 또한 매우 좋아요
3,맛있게 생겼당
2,갈만했다
3,괜찮을것 같아요
2,마음에 들었어요
3,파스타가 다양해서 좋아요
2,합리적인 가격이에용
3,다양한 종류가 있어서 좋아요
3,깔끔했던 것 같아요
3,시원한 육수에요
3,깔끔하고 담백해요
2,또 오고 싶은 맛입니당
2,퀄리티가 좋아요
3,깔끔하고 담백해요
2,음식이 깔끔하게 잘 나와요
2,괜찮구요
3,갈만한 편이네요
2,퀄리티가 굉장히 높아요
3,괜찮은 것 같다
3,맛있다는데요
2,마음에 들었어요
3,맛도좋아요
2,부모님 모시고 가기에도 좋아요
2,또 오고 싶어요
2,또 오고 싶어요 
3,음료 맛도 좋아요
3,맛있었던 편이네요
3,또 가고 싶당
3,맛 또한 좋아요
2,저렴한 가격에 즐길 수 있어서 좋아요
2,산책로가 있어서 좋아요
3,여러 종류의 초밥을 즐길 수 있어서 좋아용
2,내부가 엄청 넓어요
5,오픈 분전에 안가면 웨이팅은 무조건 인거같아요 가격이 만원도 안하는데 양이 진짜 많아요 여긴 특히 돈까스가 진짜 너무너무 맛있는거같아요 냄새도 안나고 부드럽고 굉장히 두꺼워요 아쉬운게 있다면 너무 일찍 닫는
3,맛있어용 추천추천
3,뒷골목에 이런 곳이 있는지 몰랐네요 완전 맛있어용 
5,저도 검색하다 가게 됐는데 근래 보기드문 맛집 이었어요 어린시절을 떠올리게 만드는 속이 꽉찬 김치만두 그리고 정말 홍두깨로 민 칼국수면과 사골육수 친구가 꽤 유명한 칼국숫집을 하는데 그집 보다 맛있는듯  어제 먹고 왔는데 또 생각납니다 강추
3,심플한 라멘집 분위기인데 해산물도 푸짐하게 나오고 그릇이 일단 커서  엄청잘 먹었네요
1,주인바뀠어요 완전실망
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
2,화덕피자의 매력을 확실히 느낄 수 있는 곳 
1,맛잇대서 갓더니 직원분인지 사장님이신지 청소중이라고 손님말 듣는체마는체하고 친절하게 주차여쭤본건데 말씀하시는게 영 별로였네요 맛집이래서 간건데 기분만 꿍하고왓습니다 손님대우가 진짜 꽝인듯
3,인테리어가 귀여움  주전자 짱귀
2,맛있음
3,피자 엄청 구수함
3,매장이 꽤 커요 
3,층으로 깔끔한 실내와 인테리어는 굿 탕슉은 비릿한 고기냄새와 소스는 조금부족 굴짬뽕은 시원한 맛보다는 그냥 우동맛에 철 지난 굴인지 조금 질긴듯한 느낌 주차장 들어가는 입구가 좁아서 조금 불편했어요 맛집이라 찾아갔는데 조금 실망했어요
1,도로상황최악입니다 친절도아니고 공기도 않좋습니다 온라인정보가오류가많네요
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
5,의정부 배달 불가능한 음식점 배달해드립니다 주문만 해주세요 주문은 카톡 트루미스 친추
